"","id","lat_dec","lng_dec"
"210","CC-0708-T1-H",19.3090833333333,-99.2618888888889
"211","CC-0738-T1-H",19.3229722222222,-99.2661666666667
"212","CC-0650-T1-H",19.6002222222222,-99.29125
"213","CC-0767-T1-H",19.3345,-99.2023888888889
"214","CC-0192-T1-H",19.3291666666667,-99.2458333333333
"215","CC-0657-T1-H",19.3695,-99.2235555555556
"216","CC-0500-T1-H",19.3453888888889,-99.2821388888889
"217","CC-0651-T1-H",19.2101388888889,-98.9678611111111
"218","CC-0040-T1-H",19.3393888888889,-99.1969444444445
"219","CC-0262-T1-H",19.4113333333333,-99.1264444444444
"220","CC-0581-T1-H",19.3257222222222,-99.253
"221","CC-0107-T1-H",19.4158888888889,-99.0606388888889
"222","CC-0733-T1-H",19.2300833333333,-99.2054722222222
"223","CC-0151-T1-H",19.3293055555556,-99.2761666666667
"224","CC-0818-T1-H",19.4245555555556,-99.1356388888889
"225","CC-0533-T1-H",19.426,-99.1473333333333
"226","CC-0402-T1-H",19.3640555555556,-99.2415833333333
"227","CC-0469-T1-H",19.3988611111111,-99.1910277777778
"228","CC-0661-T1-H",19.2848055555556,-99.2358888888889
"229","CC-0494-T1-H",19.3505277777778,-99.2225277777778
"230","CC-0477-T1-H",19.3193888888889,-99.0641666666667
"231","CC-0655-T1-H",19.3303333333333,-99.2543055555556
"232","CC-0734-T1-H",19.3236111111111,-99.2659444444444
"233","CC-0682-T1-H",19.3475555555556,-99.2208055555556
"234","CC-0791-T1-H",19.3493888888889,-99.2305277777778
"235","CC-0589-T1-H",19.3349166666667,-99.21075
"236","CC-0678-T1-H",19.3869166666667,-99.0615
"237","CC-0784-T1-H",19.3306944444444,-99.2428333333333
"238","CC-0742-T1-H",19.3551111111111,-99.2421944444445
"239","CC-0207-T1-H",19.3384166666667,-99.2050555555556
"240","CC-0220-T1-H",19.32325,-99.2456388888889
"241","CC-0502-T1-H",19.3580277777778,-99.2429444444444
"242","CC-0620-T1-H",19.3413333333333,-99.1595555555556
"243","CC-0721-T1-H",19.3363055555556,-99.2155277777778
"244","CC-0246-T1-H",19.4161111111111,-99.1631111111111
"245","CC-0770-T1-H",19.3255,-99.2505833333333
"246","CC-0450-T1-H",19.3034166666667,-99.2580277777778
"247","CC-0672-T1-H",19.3266388888889,-99.28275
"248","CC-0306-T1-H",19.3415833333333,-99.2368888888889
"249","CC-0397-T1-H",19.3270833333333,-99.2837222222222
